widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2
1,For,3.0,1.0,1.0,IN,dep,3.0,3.0,2.0,3.0,-1.75,1,"For myself and for our Nation , I want to thank my predecessor for all he has done to heal our land .",7,6
2,myself,6.0,2.0,2.0,PRP,nsubj,4.0,4.0,4.0,4.0,-3.0,1,"For myself and for our Nation , I want to thank my predecessor for all he has done to heal our land .",7,6
3,and,3.0,1.0,1.0,CC,cc,4.0,4.0,4.0,4.0,-3.0,1,"For myself and for our Nation , I want to thank my predecessor for all he has done to heal our land .",7,6
4,for,3.0,1.0,1.0,IN,case,5.0,5.0,4.0,5.0,-3.75,1,"For myself and for our Nation , I want to thank my predecessor for all he has done to heal our land .",7,6
5,our,2.0,2.0,1.0,PRP$,nmod:poss,5.0,5.0,5.0,5.0,-4.0,1,"For myself and for our Nation , I want to thank my predecessor for all he has done to heal our land .",7,6
6,Nation,5.0,2.0,1.0,NN,nmod:for,3.0,3.0,3.0,3.0,-2.0,1,"For myself and for our Nation , I want to thank my predecessor for all he has done to heal our land .",7,6
7,",",,,,",",,,,,,,1,"For myself and for our Nation , I want to thank my predecessor for all he has done to heal our land .",7,6
8,I,1.0,1.0,1.0,PRP,nsubj,5.0,5.0,3.0,5.0,-3.5,1,"For myself and for our Nation , I want to thank my predecessor for all he has done to heal our land .",7,6
9,want,4.0,1.0,1.0,VBP,parataxis,3.0,3.0,3.0,3.0,-2.0,1,"For myself and for our Nation , I want to thank my predecessor for all he has done to heal our land .",7,6
10,to,2.0,1.0,1.0,TO,mark,4.0,4.0,4.0,4.0,-3.0,1,"For myself and for our Nation , I want to thank my predecessor for all he has done to heal our land .",7,6
11,thank,4.0,1.0,1.0,VB,xcomp,3.0,3.0,3.0,3.0,-2.0,1,"For myself and for our Nation , I want to thank my predecessor for all he has done to heal our land .",7,6
12,my,2.0,1.0,1.0,PRP$,nmod:poss,4.0,4.0,5.0,4.0,-3.25,1,"For myself and for our Nation , I want to thank my predecessor for all he has done to heal our land .",7,6
13,predecessor,9.0,4.0,2.0,NN,dobj,2.0,2.0,3.0,2.0,-1.25,1,"For myself and for our Nation , I want to thank my predecessor for all he has done to heal our land .",7,6
14,for,3.0,1.0,1.0,IN,case,5.0,5.0,2.0,5.0,-3.25,1,"For myself and for our Nation , I want to thank my predecessor for all he has done to heal our land .",7,6
15,all,2.0,1.0,1.0,DT,nmod:for,6.0,6.0,5.0,6.0,-4.75,1,"For myself and for our Nation , I want to thank my predecessor for all he has done to heal our land .",7,6
16,he,2.0,1.0,1.0,PRP,nsubj,4.0,4.0,2.0,4.0,-2.5,1,"For myself and for our Nation , I want to thank my predecessor for all he has done to heal our land .",7,6
17,has,3.0,1.0,1.0,VBZ,aux,3.0,3.0,2.0,3.0,-1.75,1,"For myself and for our Nation , I want to thank my predecessor for all he has done to heal our land .",7,6
18,done,3.0,1.0,1.0,VBN,root,2.0,2.0,2.0,2.0,-1.0,1,"For myself and for our Nation , I want to thank my predecessor for all he has done to heal our land .",7,6
19,to,2.0,1.0,1.0,TO,mark,3.0,3.0,3.0,3.0,-2.0,1,"For myself and for our Nation , I want to thank my predecessor for all he has done to heal our land .",7,6
20,heal,3.0,1.0,1.0,VB,xcomp,2.0,2.0,2.0,2.0,-1.0,1,"For myself and for our Nation , I want to thank my predecessor for all he has done to heal our land .",7,6
21,our,2.0,2.0,1.0,PRP$,nmod:poss,3.0,3.0,3.0,3.0,-2.0,1,"For myself and for our Nation , I want to thank my predecessor for all he has done to heal our land .",7,6
22,land,4.0,1.0,1.0,NN,dobj,1.0,1.0,1.0,1.0,0.0,1,"For myself and for our Nation , I want to thank my predecessor for all he has done to heal our land .",7,6
23,.,,,,.,,,,,,,1,"For myself and for our Nation , I want to thank my predecessor for all he has done to heal our land .",7,6
1,In,2.0,1.0,0.0,IN,case,4.0,4.0,3.0,4.0,-2.75,2,"In this outward and physical ceremony , we attest once again to the inner and spiritual strength of our Nation .",4,4
2,this,3.0,1.0,1.0,DT,det,4.0,4.0,3.0,4.0,-2.75,2,"In this outward and physical ceremony , we attest once again to the inner and spiritual strength of our Nation .",4,4
3,outward,5.0,2.0,1.0,JJ,amod,4.0,4.0,4.0,4.0,-3.0,2,"In this outward and physical ceremony , we attest once again to the inner and spiritual strength of our Nation .",4,4
4,and,3.0,1.0,1.0,CC,cc,5.0,5.0,5.0,5.0,-4.0,2,"In this outward and physical ceremony , we attest once again to the inner and spiritual strength of our Nation .",4,4
5,physical,7.0,3.0,1.0,JJ,conj:and,3.0,3.0,3.0,3.0,-2.0,2,"In this outward and physical ceremony , we attest once again to the inner and spiritual strength of our Nation .",4,4
6,ceremony,8.0,4.0,2.0,NN,nmod:in,2.0,2.0,2.0,2.0,-1.0,2,"In this outward and physical ceremony , we attest once again to the inner and spiritual strength of our Nation .",4,4
7,",",,,,",",,,,,,,2,"In this outward and physical ceremony , we attest once again to the inner and spiritual strength of our Nation .",4,4
8,we,2.0,1.0,1.0,PRP,nsubj,4.0,4.0,2.0,4.0,-2.5,2,"In this outward and physical ceremony , we attest once again to the inner and spiritual strength of our Nation .",4,4
9,attest,5.0,2.0,1.0,VB,root,2.0,2.0,2.0,2.0,-1.0,2,"In this outward and physical ceremony , we attest once again to the inner and spiritual strength of our Nation .",4,4
10,once,4.0,1.0,1.0,RB,advmod,3.0,3.0,3.0,3.0,-2.0,2,"In this outward and physical ceremony , we attest once again to the inner and spiritual strength of our Nation .",4,4
11,again,4.0,2.0,1.0,RB,advmod,2.0,2.0,2.0,2.0,-1.0,2,"In this outward and physical ceremony , we attest once again to the inner and spiritual strength of our Nation .",4,4
12,to,2.0,1.0,1.0,TO,case,3.0,3.0,3.0,3.0,-2.0,2,"In this outward and physical ceremony , we attest once again to the inner and spiritual strength of our Nation .",4,4
13,the,2.0,1.0,0.0,DT,det,4.0,4.0,4.0,4.0,-3.0,2,"In this outward and physical ceremony , we attest once again to the inner and spiritual strength of our Nation .",4,4
14,inner,3.0,2.0,1.0,JJ,amod,3.0,3.0,3.0,3.0,-2.0,2,"In this outward and physical ceremony , we attest once again to the inner and spiritual strength of our Nation .",4,4
15,and,3.0,1.0,1.0,CC,cc,4.0,4.0,4.0,4.0,-3.0,2,"In this outward and physical ceremony , we attest once again to the inner and spiritual strength of our Nation .",4,4
